timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726841536008,60,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-12,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,59,0,31
1726841536023,49,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-15,text,true,,893,290,12,12,https://reqres.in/api/users,48,0,0
1726841536005,83,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-29,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,83,0,44
1726841536041,61,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-14,text,true,,893,290,12,12,https://reqres.in/api/users,61,0,0
1726841536034,68,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-35,text,true,,893,290,12,12,https://reqres.in/api/users,68,0,0
1726841536012,90,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-34,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,90,0,37
1726841536055,50,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-13,text,true,,893,290,12,12,https://reqres.in/api/users,50,0,0
1726841536023,82,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-31,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,82,0,40
1726841536050,57,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-33,text,true,,893,290,12,12,https://reqres.in/api/users,57,0,0
1726841536066,54,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-30,text,true,,893,290,12,12,https://reqres.in/api/users,54,0,0
1726841536068,52,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-12,text,true,,893,290,12,12,https://reqres.in/api/users,52,0,0
1726841536066,61,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-11,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,61,0,35
1726841536054,73,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-32,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,73,0,39
1726841536073,54,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-15,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,54,0,35
1726841536106,50,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-31,text,true,,893,290,12,12,https://reqres.in/api/users,50,0,0
1726841536103,53,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-34,text,true,,892,290,12,12,https://reqres.in/api/users,53,0,0
1726841536089,67,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-29,text,true,,893,290,12,12,https://reqres.in/api/users,67,0,0
1726841536106,59,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-13,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,58,0,37
1726841536108,66,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-33,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,66,0,41
1726841536122,54,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-12,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,54,0,31
1726841536122,54,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-30,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,54,0,29
1726841536103,73,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-35,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,73,0,47
1726841536127,53,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-15,text,true,,893,290,12,12,https://reqres.in/api/users,53,0,0
1726841536127,56,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-11,text,true,,893,290,12,12,https://reqres.in/api/users,56,0,0
1726841536127,64,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-32,text,true,,893,290,12,12,https://reqres.in/api/users,64,0,0
1726841536103,89,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-14,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,89,0,40
1726841536157,53,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-29,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,53,0,33
1726841536157,56,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-31,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,56,0,33
1726841536177,42,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-30,text,true,,901,290,12,12,https://reqres.in/api/users,42,0,0
1726841536165,57,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-13,text,true,,901,290,12,12,https://reqres.in/api/users,57,0,0
1726841536157,66,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-34,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,66,0,33
1726841536177,47,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-12,text,true,,901,290,12,12,https://reqres.in/api/users,47,0,0
1726841536177,55,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-35,text,true,,901,290,12,12,https://reqres.in/api/users,55,0,0
1726841536174,58,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-33,text,true,,901,290,12,12,https://reqres.in/api/users,58,0,0
1726841536181,55,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-15,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,54,0,30
1726841536193,48,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-32,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,48,0,27
1726841536193,51,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-14,text,true,,901,290,12,12,https://reqres.in/api/users,51,0,0
1726841536184,68,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-11,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,68,0,31
1726841536210,49,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-29,text,true,,901,290,14,14,https://reqres.in/api/users,49,0,0
